年龄分组,发病数,死亡数,发病率(1/10万),死亡率(1/10万),发病数,死亡数,发病率(1/10万),死亡率(1/10万),年份,月份
,全国,2477.0,11.0,0.19055605132781486,0.0008462319598732191,2004,1,,,
,天津市,2.0,0.0,0.02152214510359362,0,2004,1,,,
,河北省,166.0,0.0,0.24415159849287277,0,2004,1,,,
,山西省,7.0,0.0,0.021120662343971107,0,2004,1,,,
,内蒙古,3.0,0.0,0.012582045421183971,0,2004,1,,,
,吉林省,1.0,0.0,0.003751965091716787,0,2004,1,,,
,江苏省,2.0,0.0,0.00264249502477643,0,2004,1,,,
,浙江省,120.0,0.0,0.2553327304643864,0,2004,1,,,
,安徽省,14.0,0.0,0.021728584648419706,0,2004,1,,,
,福建省,44.0,0.0,0.12237178774057182,0,2004,1,,,
,江西省,32.0,0.0,0.07470410114076197,0,2004,1,,,
,山东省,33.0,0.0,0.035992340175604445,0,2004,1,,,
,河南省,74.0,0.0,0.07635163021048287,0,2004,1,,,
,湖北省,1.0,0.0,0.0016643595591850505,0,2004,1,,,
,湖南省,64.0,0.0,0.09581856754235855,0,2004,1,,,
,广东省,122.0,0.0,0.15337770391062858,0,2004,1,,,
,广西,159.0,0.0,0.3274410083617931,0,2004,1,,,
,重庆市,21.0,0.0,0.06709043970179641,0,2004,1,,,
,四川省,347.0,11.0,0.39821500525552,0.012623530425967493,2004,1,,,
,贵州省,993.0,0.0,2.597466938731928,0,2004,1,,,
,西藏,2.0,0.0,0.07658125941710174,0,2004,1,,,
,陕西省,6.0,0.0,0.016401947436022975,0,2004,1,,,
,甘肃省,189.0,0.0,0.7230637242946543,0,2004,1,,,
,青海省,25.0,0.0,0.4633375799766997,0,2004,1,,,
,宁夏,36.0,0.0,0.616488287493148,0,2004,1,,,
,新疆,14.0,0.0,0.07525199474225064,0,2004,1,,,
,全国,6236.0,1.0,0.47973659106994493,0.00007693017817029264,2004,2,,,
,北京市,1.0,0.0,0.006750371270419873,0,2004,2,,,
,河北省,107.0,0.0,0.15737482553456258,0,2004,2,,,
,山西省,2.0,0.0,0.006034474955420316,0,2004,2,,,
,黑龙江,1.0,0.0,0.0026658163778747797,0,2004,2,,,
,上海市,1.0,0.0,0.007473856636332525,0,2004,2,,,
,江苏省,15.0,0.0,0.019818712685823223,0,2004,2,,,
,浙江省,606.0,0.0,1.2894302888451514,0,2004,2,,,
,安徽省,22.0,0.0,0.034144918733230965,0,2004,2,,,
,福建省,234.0,0.0,0.6507954166203137,0,2004,2,,,
,江西省,64.0,0.0,0.14940820228152393,0,2004,2,,,
,山东省,32.0,0.0,0.03490166320058613,0,2004,2,,,
,河南省,127.0,0.0,0.13103590590177466,0,2004,2,,,
,湖南省,183.0,0.0,0.2739812165664315,0,2004,2,,,
,广东省,343.0,1.0,0.43121764296184917,0.0012571942943494145,2004,2,,,
,广西,1348.0,0.0,2.7760407501364592,0,2004,2,,,
,重庆市,1187.0,0.0,3.792207234572969,0,2004,2,,,
,四川省,1128.0,0.0,1.2944856654992118,0,2004,2,,,
,贵州省,599.0,0.0,1.56685065085642,0,2004,2,,,
,西藏,1.0,0.0,0.03829062970855087,0,2004,2,,,
,陕西省,49.0,0.0,0.13394923739418763,0,2004,2,,,
,甘肃省,127.0,0.0,0.48586821685407977,0,2004,2,,,
,青海省,19.0,0.0,0.3521365607822918,0,2004,2,,,
,宁夏,18.0,0.0,0.308244143746574,0,2004,2,,,
,新疆,22.0,0.0,0.11825313459496527,0,2004,2,,,
,全国,11691.0,0.0,0.8993907129888912,0,2004,3,,,
,北京市,1.0,0.0,0.006750371270419873,0,2004,3,,,
,天津市,1.0,0.0,0.01076107255179681,0,2004,3,,,
,河北省,201.0,0.0,0.2956293451630568,0,2004,3,,,
,山西省,2.0,0.0,0.006034474955420316,0,2004,3,,,
,内蒙古,1.0,0.0,0.0041940151403946566,0,2004,3,,,
,辽宁省,1.0,0.0,0.0024021106866181177,0,2004,3,,,
,吉林省,1.0,0.0,0.003751965091716787,0,2004,3,,,
,黑龙江,3.0,0.0,0.00799744913362434,0,2004,3,,,
,江苏省,5.0,0.0,0.0066062375619410744,0,2004,3,,,
,浙江省,925.0,0.0,1.9681897973296454,0,2004,3,,,
,安徽省,39.0,0.0,0.06052962866345489,0,2004,3,,,
,福建省,126.0,0.0,0.350428301257092,0,2004,3,,,
,江西省,243.0,0.0,0.5672842680376612,0,2004,3,,,
,山东省,21.0,0.0,0.022904216475384646,0,2004,3,,,
,河南省,46.0,0.0,0.04746182418489476,0,2004,3,,,
,湖北省,3.0,0.0,0.004993078677555151,0,2004,3,,,
,湖南省,337.0,0.0,0.5045446447152317,0,2004,3,,,
,广东省,2184.0,0.0,2.7457123388591214,0,2004,3,,,
,广西,2738.0,0.0,5.638575351538298,0,2004,3,,,
,海南省,13.0,0.0,0.15966289022992072,0,2004,3,,,
,重庆市,926.0,0.0,2.9583689125649277,0,2004,3,,,
,四川省,2218.0,0.0,2.5453627713450815,0,2004,3,,,
,贵州省,1424.0,0.0,3.7248669896820403,0,2004,3,,,
,西藏,2.0,0.0,0.07658125941710174,0,2004,3,,,
,陕西省,64.0,0.0,0.17495410598424507,0,2004,3,,,
,甘肃省,52.0,0.0,0.19893816753080434,0,2004,3,,,
,青海省,75.0,0.0,1.390012739930099,0,2004,3,,,
,宁夏,32.0,0.0,0.5479895888827983,0,2004,3,,,
,新疆,7.0,0.0,0.03762599737112532,0,2004,3,,,
,全国,10311.0,1.0,0.7932270671138875,0.00007693017817029264,2004,4,,,
,河北省,119.0,0.0,0.17502433867862566,0,2004,4,,,
,山西省,3.0,0.0,0.009051712433130476,0,2004,4,,,
,辽宁省,1.0,0.0,0.0024021106866181177,0,2004,4,,,
,吉林省,1.0,0.0,0.003751965091716787,0,2004,4,,,
,黑龙江,1.0,0.0,0.0026658163778747797,0,2004,4,,,
,上海市,1.0,0.0,0.007473856636332525,0,2004,4,,,
,江苏省,22.0,0.0,0.029067445272540727,0,2004,4,,,
,浙江省,433.0,0.0,0.921325602425661,0,2004,4,,,
,安徽省,70.0,0.0,0.10864292324209851,0,2004,4,,,
,福建省,89.0,0.0,0.24752475247524752,0,2004,4,,,
,江西省,346.0,0.0,0.8077380935844889,0,2004,4,,,
,山东省,11.0,0.0,0.01199744672520148,0,2004,4,,,
,河南省,109.0,0.0,0.11246388774246802,0,2004,4,,,
,湖北省,3.0,0.0,0.004993078677555151,0,2004,4,,,
,湖南省,90.0,0.0,0.1347448606064417,0,2004,4,,,
,广东省,1059.0,0.0,1.33136875771603,0,2004,4,,,
,广西,2012.0,0.0,4.143467351093884,0,2004,4,,,
,海南省,5.0,0.0,0.06140880393458489,0,2004,4,,,
,重庆市,265.0,0.0,0.846617453379812,0,2004,4,,,
,四川省,4832.0,0.0,5.545172638024993,0,2004,4,,,
,贵州省,703.0,0.0,1.8388914984174678,0,2004,4,,,
,西藏,11.0,0.0,0.4211969267940596,0,2004,4,,,
,陕西省,24.0,0.0,0.0656077897440919,0,2004,4,,,
,甘肃省,56.0,0.0,0.21424110349471234,0,2004,4,,,
,青海省,36.0,1.0,0.6672061151664476,0.018533503199067988,2004,4,,,
,宁夏,8.0,0.0,0.13699739722069956,0,2004,4,,,
,新疆,1.0,0.0,0.005375142481589331,0,2004,4,,,
,全国,3062.0,0.0,0.23556020555743606,0,2004,5,,,
,北京市,3.0,0.0,0.02025111381125962,0,2004,5,,,
,天津市,1.0,0.0,0.01076107255179681,0,2004,5,,,
,河北省,150.0,0.0,0.22061891430078864,0,2004,5,,,
